product_id,supplier_id,product_code,priorityIndex,measure_id,qty_of_measure,abbreviation
0SS6s66LXW99c74bpGzu,XzKzAD6uPnLz7JLKBFqn,6105178,0.0,4mwgSAFKoNSRfDIZykoL,6.0,CA
0SS6s66LXW99c74bpGzu,XzKzAD6uPnLz7JLKBFqn,6105178,0.0,lCDrg9U0L5F0q2tHZzYS,1.89,EA
0SS6s66LXW99c74bpGzu,XzKzAD6uPnLz7JLKBFqn,6105178,0.0,lCDrg9U0L5F0q2tHZzYS,1.89,UN
0SwIL5EFIiNKFvmO1C2a,XzKzAD6uPnLz7JLKBFqn,1361514,0.0,4mwgSAFKoNSRfDIZykoL,1.0,EA
0SwIL5EFIiNKFvmO1C2a,XzKzAD6uPnLz7JLKBFqn,1361514,0.0,4mwgSAFKoNSRfDIZykoL,4.0,CA
0SwIL5EFIiNKFvmO1C2a,XzKzAD6uPnLz7JLKBFqn,1361514,0.0,4mwgSAFKoNSRfDIZykoL,1.0,UN
0SwIL5EFIiNKFvmO1C2a,XzKzAD6uPnLz7JLKBFqn,1361514,0.0,4mwgSAFKoNSRfDIZykoL,4.0,CS
0U4qMziYLJfHqbbe31fQ,2YbkFlGIasSqv7fjssPs,14700227,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0VPZmU1GusX8mdAcFpmI,nl335PEacrsOYpqR8HRl,3750009,0.0,lCDrg9U0L5F0q2tHZzYS,3.0,CU
0VPZmU1GusX8mdAcFpmI,XzKzAD6uPnLz7JLKBFqn,1304685,1.0,4mwgSAFKoNSRfDIZykoL,2.0,CA
0VPZmU1GusX8mdAcFpmI,XzKzAD6uPnLz7JLKBFqn,1179807,2.0,4mwgSAFKoNSRfDIZykoL,2.0,CA
0YtVxD5FKgtA2MQTzpQb,5YMdUhYCdf3RCXjS29FN,Gin de miel au genevrier,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0ab0d0fb1bd0292e708dda20f08f599f,XzKzAD6uPnLz7JLKBFqn,6350028,1.0,RtSe4oh5jnIeUSdNH74A,22.68,CS
0ab0d0fb1bd0292e708dda20f08f599f,XzKzAD6uPnLz7JLKBFqn,6350028,1.0,RtSe4oh5jnIeUSdNH74A,22.68,CA
0ab0d0fb1bd0292e708dda20f08f599f,UeRNZf0p9FHnx54VTu5j,700761,0.0,RtSe4oh5jnIeUSdNH74A,22.7,CS
0b755ef34a09643f92380203ecae5639,nl335PEacrsOYpqR8HRl,470016,0.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
0b9e01295b7b4bb70cc8fbb483a4d73a,XzKzAD6uPnLz7JLKBFqn,1192044,1.0,RtSe4oh5jnIeUSdNH74A,3.0,CA
0b9e01295b7b4bb70cc8fbb483a4d73a,XzKzAD6uPnLz7JLKBFqn,7136605,0.0,4mwgSAFKoNSRfDIZykoL,1.0,CS
0b9e01295b7b4bb70cc8fbb483a4d73a,XzKzAD6uPnLz7JLKBFqn,7136605,0.0,4mwgSAFKoNSRfDIZykoL,1.0,CA
0bbf19baa258ac6054e95034af73b011,XzKzAD6uPnLz7JLKBFqn,1443707,0.0,RtSe4oh5jnIeUSdNH74A,11.3,CS
0bbf19baa258ac6054e95034af73b011,XzKzAD6uPnLz7JLKBFqn,1443707,0.0,RtSe4oh5jnIeUSdNH74A,11.3,CA
0ca7c4c40ed726de07e8e10d58940138,nl335PEacrsOYpqR8HRl,3060004,0.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
0cce83714e906c07349d1921c4830df1,XzKzAD6uPnLz7JLKBFqn,1201571,0.0,4mwgSAFKoNSRfDIZykoL,4.0,CS
0cce83714e906c07349d1921c4830df1,XzKzAD6uPnLz7JLKBFqn,1201571,0.0,4mwgSAFKoNSRfDIZykoL,4.0,CA
0cce83714e906c07349d1921c4830df1,XzKzAD6uPnLz7JLKBFqn,1456857,1.0,RtSe4oh5jnIeUSdNH74A,4.0,CA
0ce97ee45b9676bdd516faac462f5706,nl335PEacrsOYpqR8HRl,1400044,0.0,4mwgSAFKoNSRfDIZykoL,6.0,CS
0d42158fabc3da2bbfc4bfc1661b6de2,6O1FtPg5V9woBCwOqtY2,41525,0.0,4mwgSAFKoNSRfDIZykoL,2.0,CS
0d42158fabc3da2bbfc4bfc1661b6de2,6O1FtPg5V9woBCwOqtY2,820164,1.0,RtSe4oh5jnIeUSdNH74A,1.0,UN
0f307baf42f3b2189b44f707c8606c2e,6O1FtPg5V9woBCwOqtY2,487255,3.0,4mwgSAFKoNSRfDIZykoL,4.0,UN
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,1179430,2.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,1179430,2.0,4mwgSAFKoNSRfDIZykoL,8.0,CA
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,1179430,2.0,4mwgSAFKoNSRfDIZykoL,1.0,EA
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,1179430,2.0,4mwgSAFKoNSRfDIZykoL,8.0,CS
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,1179430,2.0,4mwgSAFKoNSRfDIZykoL,1.0,UN
